STT,Block Type,Block,Type,Layer Name,In Channels,Out Channels,Resolution (HxW),OFM,OFM_SIZE (byte),OFM_TYPE,IFM,IFM_SIZE (byte),IFM_TYPE,Weight Shape,Weight Params,Weight Size (Byte),kernel,padding,stride,Weight Storage DType,Weight Notes
1,__io_cast_in__,Hyperprior,Cast,__io_cast_in__/Hyperprior/Add_3_output_0,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",225280,float32,N/A,0,0,,,,N/A,
2,Generator,conv_block_init,Constant,/Generator/conv_block_init/conv_block_init.0/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
3,,,Constant,/Generator/conv_block_init/conv_block_init.0/Constant_1,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
4,,,Constant,/Generator/conv_block_init/conv_block_init.0/Constant_2,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
5,,,Constant,/Generator/conv_block_init/conv_block_init.0/Constant_3,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
6,,,Constant,/Generator/conv_block_init/pre_pad/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
7,,,Constant,/Generator/conv_block_init/pre_pad/Constant_1,N/A,N/A,N/A,[4],32,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
8,,,ConstantOfShape,/Generator/conv_block_init/pre_pad/ConstantOfShape,N/A,N/A,N/A,[4],32,int64,[1],8,int64,N/A,0,0,,,,N/A,
9,,,Concat,/Generator/conv_block_init/pre_pad/Concat,N/A,N/A,N/A,[8],64,int64,[4],32,int64,N/A,0,0,,,,N/A,
10,,,Constant,/Generator/conv_block_init/pre_pad/Constant_2,N/A,N/A,N/A,[2],16,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
11,,,Reshape,/Generator/conv_block_init/pre_pad/Reshape,N/A,N/A,N/A,"[4, 2]",64,int64,[8],64,int64,N/A,0,0,,,,N/A,
12,,,Constant,/Generator/conv_block_init/pre_pad/Constant_3,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
13,,,Constant,/Generator/conv_block_init/pre_pad/Constant_4,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
14,,,Constant,/Generator/conv_block_init/pre_pad/Constant_5,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
15,,,Constant,/Generator/conv_block_init/pre_pad/Constant_6,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
16,,,Slice,/Generator/conv_block_init/pre_pad/Slice,N/A,N/A,N/A,"[4, 2]",64,int64,"[4, 2]",64,int64,N/A,0,0,,,,N/A,
17,,,Transpose,/Generator/conv_block_init/pre_pad/Transpose,N/A,N/A,N/A,"[2, 4]",64,int64,"[4, 2]",64,int64,N/A,0,0,,,,N/A,
18,,,Constant,/Generator/conv_block_init/pre_pad/Constant_7,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
19,,,Reshape,/Generator/conv_block_init/pre_pad/Reshape_1,N/A,N/A,N/A,[8],64,int64,"[2, 4]",64,int64,N/A,0,0,,,,N/A,
20,,,Cast,/Generator/conv_block_init/pre_pad/Cast,N/A,N/A,N/A,[8],64,int64,[8],64,int64,N/A,0,0,,,,N/A,
21,,,Constant,/Generator/conv_block_init/conv_block_init.3/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
22,,,Constant,/Generator/conv_block_init/conv_block_init.3/Constant_1,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
23,,,Constant,/Generator/conv_block_init/conv_block_init.3/Constant_2,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
24,,,Constant,/Generator/conv_block_init/conv_block_init.3/Constant_3,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
25,,resblock_0,Constant,/Generator/resblock_0/pad/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
