"Số PE
(window channels
xử lý song song)",UCB_0,,,,,,,,,,,,,,,,,,UCB_1,,,,,,,,,,,,,,,,,,UCB_2,,,,,,,,,,,,,,,,,,UCB_3,,,,,,,,,,,,,,,,,
,Bi,Hi,Wi,Ci,N_Tiles,Ko,IFM Buf (KB),W_local Buf (KB),row_acc Buf (KB),Tổng Buf (KB),Số DSP,Số lần load weight,Conv (K Cycle),IFM load (K Cycle),Tổng (K Cycle),Tổng (s),MACs,GOPS,Bi,Hi,Wi,Ci,N_Tiles,Ko,IFM Buf (KB),W_local Buf (KB),row_acc Buf (KB),Tổng Buf (KB),Số DSP,Số lần load weight,Conv (K Cycle),IFM load (K Cycle),Tổng (K Cycle),Tổng (s),MACs,GOPS,Bi,Hi,Wi,Ci,N_Tiles,Ko,IFM Buf (KB),W_local Buf (KB),row_acc Buf (KB),Tổng Buf (KB),Số DSP,Số lần load weight,Conv (K Cycle),IFM load (K Cycle),Tổng (K Cycle),Tổng (s),MACs,GOPS,Bi,Hi,Wi,Ci,N_Tiles,Ko,IFM Buf (KB),W_local Buf (KB),row_acc Buf (KB),Tổng Buf (KB),Số DSP,Số lần load weight,Conv (K Cycle),IFM load (K Cycle),Tổng (K Cycle),Tổng (s),MACs,GOPS
1,1,1,16,960,480,1,60,16.9,240,319.9,71,32,73267,15,76945,0.2565,1061683200,8.28,1,1,32,480,240,1,60,16.9,240,319.9,71,64,69811,31,77534,0.2584,1061683200,8.22,1,1,64,240,120,1,60,16.9,240,319.9,71,128,68091,62,85025,0.2834,1061683200,7.49,1,1,128,120,60,1,64,16.9,240,323.9,71,256,71700,132,111504,0.3717,1061683200,5.71
4,1,1,16,960,120,4,60,67.5,240,370.5,284,32,24538,15,28215,0.0941,1061683200,22.58,1,1,32,480,60,4,60,67.5,240,370.5,284,64,20563,31,28286,0.0943,1061683200,22.52,1,1,64,240,30,4,60,67.5,240,370.5,284,128,18578,62,35512,0.1184,1061683200,17.94,1,1,128,120,15,4,64,67.5,240,374.5,284,256,18755,132,58558,0.1952,1061683200,10.88
8,1,1,16,960,60,8,60,135,240,438,568,32,16416,15,20093,0.067,1061683200,31.7,1,1,32,480,30,8,60,135,240,438,568,64,12355,31,20078,0.0669,1061683200,31.73,1,1,64,240,15,8,60,135,240,438,568,128,10326,62,27259,0.0909,1061683200,23.37,1,1,128,120,8,8,64,135,240,442,568,256,10592,132,50396,0.168,1061683200,12.64
12,1,1,16,960,40,12,60,202.5,240,505.5,852,32,13709,15,17386,0.058,1061683200,36.64,1,1,32,480,20,12,60,202.5,240,505.5,852,64,9619,31,17342,0.0578,1061683200,36.73,1,1,64,240,10,12,60,202.5,240,505.5,852,128,7575,62,24509,0.0817,1061683200,25.99,1,1,128,120,5,12,64,202.5,240,509.5,852,256,6989,132,46792,0.156,1061683200,13.61
16,1,1,16,960,30,16,60,270,240,573,1136,32,12355,15,16033,0.0534,1061683200,39.73,1,1,32,480,15,16,60,270,240,573,1136,64,8251,31,15974,0.0532,1061683200,39.88,1,1,64,240,8,16,60,270,240,573,1136,128,6613,62,23547,0.0785,1061683200,27.05,1,1,128,120,4,16,64,270,240,577,1136,256,5886,132,45690,0.1523,1061683200,13.94
24,1,1,16,960,20,24,60,405,240,708,1704,32,11002,15,14679,0.0489,1061683200,43.4,1,1,32,480,10,24,60,405,240,708,1704,64,6883,31,14606,0.0487,1061683200,43.61,1,1,64,240,5,24,60,405,240,708,1704,128,4824,62,21758,0.0725,1061683200,29.28,1,1,128,120,3,24,64,405,240,712,1704,256,4857,132,44660,0.1489,1061683200,14.26
30,1,1,16,960,16,30,60,506.2,240,809.2,2130,32,10460,15,14138,0.0471,1061683200,45.06,1,1,32,480,8,30,60,506.2,240,809.2,2130,64,6336,31,14059,0.0469,1061683200,45.31,1,1,64,240,4,30,60,506.2,240,809.2,2130,128,4274,62,21208,0.0707,1061683200,30.04,1,1,128,120,2,30,64,506.2,240,813.2,2130,256,3459,132,43263,0.1442,1061683200,14.72
60,1,1,16,960,8,60,60,1012.5,240,1315.5,4260,32,9377,15,13055,0.0435,1061683200,48.8,1,1,32,480,4,60,60,1012.5,240,1315.5,4260,64,5242,31,12964,0.0432,1061683200,49.14,1,1,64,240,2,60,60,1012.5,240,1315.5,4260,128,3174,62,20108,0.067,1061683200,31.68,1,1,128,120,1,60,64,1012.5,240,1319.5,4260,256,2282,132,42086,0.1403,1061683200,15.14
